Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_005890195.1	ASM589019v1	Natrinema pallidum	3778093	3841	3705	73
GCF_000235565.1	ASM23556v1	Methanothrix harundinacea 6Ac	2571034	2560	2498	11
GCF_000213215.1	ASM21321v1	Acidianus hospitalis W1	2137654	2528	2417	60
GCF_000193375.1	ASM19337v1	Thermoproteus uzoniensis 768-20	1936063	2248	2189	10
GCF_902383905.1	UHGG_MGYG-HGUT-02160	Candidatus Methanomassiliicoccus intestinalis	1931651	1897	1839	6
GCF_000813245.1	ASM81324v1	Thermofilum adornatum 1505	1754190	1952	1900	4
GCF_000299365.1	ASM29936v1	Candidatus Nitrosopumilus koreensis AR1	1639964	2048	1976	25
GCF_000019605.1	ASM1960v1	Candidatus Korarchaeum cryptofilum OPF8	1590757	1728	1670	7
GCF_016906025.1	ASM1690602v1	Haloterrigena salifodinae	5087240	4983	4805	108
GCF_003342695.1	ASM334269v1	Haloplanus rubicundus	3529327	3698	3575	57
GCF_000730285.1	ASM73028v1	Candidatus Nitrososphaera evergladensis SR1	2954373	3361	3302	7
GCF_017094445.1	ASM1709444v1	Halapricum desulfuricans	3078018	3154	3023	76
GCF_002116695.1	ASM211669v1	Acidianus manzaensis	2687463	2792	2705	36
GCF_008326385.1	SulIC007_1.0	Sulfuracidifex tepidarius	2535282	2651	2525	74
GCF_900095295.1	MCBB	Methanobacterium congolense	2469575	2398	2335	5
GCF_900012635.1	Pyrococcus chitonophagus genome sequence	Thermococcus chitonophagus	1969648	2228	2151	23
GCF_900090055.1	C.divulgatum PM4	Cuniculiplasma divulgatum	1878916	1892	1834	7
GCF_002787055.1	ASM278705v1	Candidatus Nitrosotenuis aquarius	1697207	2042	1989	3
GCF_002906215.1	ASM290621v1	Candidatus Nitrosocaldus islandicus	1617394	1759	1703	7
GCF_900248165.1	Nitrosocaldus cavascurensis SCU2 chromosome	Candidatus Nitrosocaldus cavascurensis	1577284	1723	1673	1
GCF_002156965.1	ASM215696v1	Candidatus Nitrosomarinus catalina	1360076	1718	1664	6
GCF_000812185.1	ASM81218v1	Candidatus Nitrosopelagicus brevis	1232128	1506	1456	3
GCF_009617975.1	ASM961797v1	Candidatus Nanohalobium constans	973463	1228	1185	
GCF_002214165.1	ASM221416v1	Candidatus Mancarchaeum acidiphilum	952257	1019	968	5
GCF_002761295.1	ASM276129v1	Methanohalophilus portucalensis	2084975	2161	2083	20
GCF_029814175.1	ASM2981417v1	Halospeciosus flavus	3557264	3782	3611	101
GCF_023204835.1	ASM2320483v1	Salinarchaeum laminariae	3169627	3045	2967	28
GCF_019633745.1	ASM1963374v1	Methanofollis formosanus	2965921	2686	2613	16
GCF_024022995.1	ASM2402299v1	Thermococcus aggregans	1889207	2083	2001	30
GCF_000024305.1	ASM2430v1	Sulfolobus islandicus L.D.8.5	2748647	3097	2831	215
GCF_900177045.1	Candidatus Nitrosotalea koreensis CS whole genome	Candidatus Nitrosotalea okcheonensis	1972585	2331	2272	10
GCF_000243255.1	ASM24325v1	Methanoplanus limicola DSM 2279	3200946	3107	3017	25
GCF_000275865.1	ASM27586v1	Methanofollis liminatans DSM 4140	2475100	2493	2428	7
GCF_020736485.1	ASM2073648v1	Halobacterium salinarum NRC-34001	2291038	2436	2349	35
GCF_000022485.1	ASM2248v1	Sulfolobus islandicus Y.N.15.51	2854410	3247	2905	291
GCF_900079115.1	SSOP1	Saccharolobus solfataricus	3034024	3267	2950	265
GCF_000012285.1	ASM1228v1	Sulfolobus acidocaldarius DSM 639	2225959	2373	2293	29
GCF_028472365.1	ASM2847236v1	Sulfolobus acidocaldarius DSM 639	2225130	2375	2294	30
GCF_028743435.1	ASM2874343v1	Methanobrevibacter smithii ATCC 35061	1853160	1810	1743	22
GCF_000007305.1	ASM730v1	Pyrococcus furiosus DSM 3638	1908256	2149	2027	54
GCF_000970245.1	ASM97024v1	Methanosarcina mazei C16	4166241	3572	3398	105
GCF_000970205.1	ASM97020v1	Methanosarcina mazei S-6	4142816	3577	3424	85
GCF_000970025.1	ASM97002v1	Methanosarcina barkeri MS	4574907	3825	3618	138
GCF_000306765.2	ASM30676v2	Haloferax mediterranei ATCC 33500	3904707	3934	3796	73
GCF_000237865.1	ASM23786v1	Haloquadratum walsbyi C23	3260476	3006	2794	159
GCF_000008645.1	ASM864v1	Methanothermobacter thermautotrophicus str. Delta H	1751377	1902	1807	47
GCF_031165565.1	ASM3116556v1	Natrinema thermotolerans	4432143	4578	4456	49
GCF_000008665.1	ASM866v1	Archaeoglobus fulgidus DSM 4304	2178400	2553	2477	25
GCF_004799665.1	ASM479966v1	Halapricum salinum	3452056	3477	3399	28
GCF_004799685.1	ASM479968v1	Halobellus limi	3749890	3731	3587	85
GCF_003967175.1	Sacidi_1.0	Sulfodiicoccus acidiphilus	2353189	2433	2230	152
GCF_002214545.1	ASM221454v1	Thermococcus thioreducens	2065932	2362	2289	21
GCF_025998175.1	ASM2599817v1	Nitrosopumilus zosterae	1775052	2136	2083	5
GCF_003711245.1	ASM371124v1	Methanomethylophilus alvi	1666767	1678	1614	12
GCF_027555065.1	ASM2755506v1	Methanothermobacter marburgensis	1639146	1788	1723	16
GCF_000012545.1	ASM1254v1	Methanosphaera stadtmanae DSM 3091	1767403	1606	1547	4
GCF_000020905.1	ASM2090v1	Desulfurococcus amylolyticus 1221n	1365223	1493	1439	2
GCF_001011115.1	ASM101111v1	Halanaeroarchaeum sulfurireducens	2209738	2286	2206	28
GCF_000585495.1	ASM58549v1	Thermococcus nautili	1976356	2232	2171	9
GCF_005310945.1	ASM531094v1	Haloarcula marismortui ATCC 43049	4184924	4307	4144	101
GCF_000446015.1	ASM44601v1	Thermofilum adornatum	1750259	1916	1862	6
GCF_003342675.1	ASM334267v1	Haloplanus rubicundus	3773640	3948	3824	65
GCF_017094525.1	ASM1709452v1	Halapricum desulfuricans	2893909	2976	2856	64
GCF_008326425.1	SulIC006_1.0	Sulfuracidifex tepidarius	2560765	2675	2546	77
GCF_030296735.1	ASM3029673v1	Methanobacterium petrolearium	2532033	2682	2454	179
GCF_002214605.1	ASM221460v1	Thermococcus chitonophagus	1961979	2218	2138	26
GCF_900083515.1	ASM90008351v1	Cuniculiplasma divulgatum	1938699	1975	1913	11
GCF_000006805.1	ASM680v1	Halobacterium salinarum NRC-1	2571010	2750	2654	44
GCF_037094595.1	ASM3709459v1	Halobacterium salinarum	2471266	2607	2501	54
GCF_037482175.1	Halobacterium salinarum KBTZ02	Halobacterium salinarum	2283916	2445	2351	42
GCF_030345255.1	ASM3034525v2	Halobacterium salinarum	2283869	2448	2354	42
GCF_000069025.1	ASM6902v1	Halobacterium salinarum R1	2668776	2823	2711	60
GCF_028472005.1	ASM2847200v1	Sulfolobus islandicus	2656591	2954	2632	271
GCF_000189555.1	ASM18955v1	Sulfolobus islandicus REY15A	2522992	2813	2573	189
GCF_000364745.1	ASM36474v1	Sulfolobus islandicus LAL14/1	2465177	2752	2544	157
GCF_000022385.1	ASM2238v1	Sulfolobus islandicus L.S.2.15	2736272	3088	2830	207
GCF_000022465.1	ASM2246v1	Sulfolobus islandicus Y.G.57.14	2702058	3036	2752	231
GCF_000022425.1	ASM2242v1	Sulfolobus islandicus M.16.27	2692402	2949	2742	156
GCF_000245215.1	ASM24521v2	Sulfolobus islandicus M.16.40	2664783	2966	2639	275
GCF_000189575.1	ASM18957v1	Sulfolobus islandicus HVE10/4	2655201	2937	2712	174
GCF_000245095.1	ASM24509v2	Sulfolobus islandicus M.16.2	2645252	2923	2600	272
GCF_000245275.1	ASM24527v2	Sulfolobus islandicus M.16.47	2637559	2930	2574	305
GCF_000022405.1	ASM2240v1	Sulfolobus islandicus M.14.25	2608832	2908	2694	163
GCF_000245175.1	ASM24517v2	Sulfolobus islandicus M.16.23	2601131	2881	2608	222
GCF_000245235.1	ASM24523v2	Sulfolobus islandicus M.16.43	2589840	2888	2620	216
GCF_000022445.1	ASM2244v1	Sulfolobus islandicus M.16.4	2586647	2862	2696	114
GCF_000968355.2	ASM96835v2	Saccharolobus solfataricus	2727312	2996	2669	276
GCF_000968395.2	ASM96839v2	Saccharolobus solfataricus	2727312	2996	2669	276
GCF_000968435.2	ASM96843v2	Saccharolobus solfataricus	2727312	2996	2669	276
GCF_003852115.1	ASM385211v1	Saccharolobus solfataricus	2707507	2956	2623	282
GCF_003852135.1	ASM385213v1	Saccharolobus solfataricus	2668974	2950	2631	268
GCF_003852195.1	ASM385219v1	Saccharolobus solfataricus	2668974	2950	2631	268
GCF_003852215.1	ASM385221v1	Saccharolobus solfataricus	2668974	2950	2631	268
GCF_003852095.1	ASM385209v1	Saccharolobus solfataricus	2659140	2936	2619	266
GCF_003852175.1	ASM385217v1	Saccharolobus solfataricus	2658139	2934	2618	265
GCF_000007005.1	ASM700v1	Saccharolobus solfataricus P2	2992245	3221	2851	318
GCF_002215485.1	ASM221548v1	Sulfolobus acidocaldarius	2286709	2466	2386	29
GCF_002215445.1	ASM221544v1	Sulfolobus acidocaldarius	2270336	2443	2362	30
GCF_002215525.1	ASM221552v1	Sulfolobus acidocaldarius	2238200	2397	2316	30
GCF_002215405.1	ASM221540v1	Sulfolobus acidocaldarius	2171591	2367	2285	31
GCF_003052125.1	ASM305212v1	Methanococcus maripaludis	1737606	1882	1822	14
GCF_000011585.1	ASM1158v1	Methanococcus maripaludis S2	1661137	1797	1743	4
GCF_000338775.1	ASM33877v1	Sulfolobus acidocaldarius Ron12/I	2223983	2372	2289	32
GCF_000340315.1	ASM34031v1	Sulfolobus acidocaldarius N8	2176362	2325	2248	26
GCF_000828535.1	ASM82853v1	Methanococcus maripaludis KA1	1858414	2020	1952	21
GCF_000016125.1	ASM1612v1	Methanococcus maripaludis C5	1789046	1927	1868	9
GCF_000828555.1	ASM82855v1	Methanococcus maripaludis OS7	1749749	1896	1838	12
GCF_000220645.1	ASM22064v1	Methanococcus maripaludis X1	1746697	1914	1853	14
GCF_002813085.1	ASM281308v1	Methanobrevibacter smithii	1805545	1782	1715	24
GCF_022846175.1	ASM2284617v1	Methanobrevibacter smithii	1791155	1738	1678	16
GCF_022846155.1	ASM2284615v1	Methanobrevibacter smithii	1791153	1737	1677	16
GCF_019669945.1	ASM1966994v1	Methanosarcina mazei	4417125	3806	3601	131
GCF_010706455.1	ASM1070645v1	Methanosarcina mazei	4323149	3700	3538	94
GCF_030247815.1	ASM3024781v1	Methanosarcina mazei	4085600	3505	3343	94
GCF_000275605.1	ASM27560v1	Pyrococcus furiosus COM1	1909827	2155	2033	55
GCF_000970225.1	ASM97022v1	Methanosarcina mazei LYC	4154344	3582	3442	72
GCF_000970165.1	ASM97016v1	Methanosarcina mazei WWM610	4096482	3520	3371	81
GCF_000970185.1	ASM97018v1	Methanosarcina mazei SarPi	4066551	3473	3334	71
GCF_000341715.1	ASM34171v1	Methanosarcina mazei Tuc01	3427949	3197	2984	160
GCF_028471785.1	ASM2847178v1	Thermococcus kodakarensis	2085702	2356	2289	14
GCF_028471865.1	ASM2847186v1	Thermococcus kodakarensis	2078475	2352	2285	14
GCF_000969985.1	ASM96998v1	Methanosarcina barkeri str. Wiesmoor	4907186	4073	3841	159
GCF_000970305.1	ASM97030v1	Methanosarcina barkeri 3	4560446	3837	3719	50
GCF_001027005.1	ASM102700v1	Methanosarcina barkeri CM1	4501171	3805	3587	148
GCF_000504565.1	ASM50456v2	Haloarcula hispanica N601	3901495	3950	3844	46
GCF_023169565.1	ASM2316956v1	Metallosphaera sedula	2283739	2497	2429	17
GCF_001266655.1	ASM126665v1	Metallosphaera sedula	2191533	2408	2332	25
GCF_001266715.1	ASM126671v1	Metallosphaera sedula	2191533	2408	2332	25
GCF_001266735.1	ASM126673v1	Metallosphaera sedula	2191533	2406	2330	25
GCF_001266695.1	ASM126669v1	Metallosphaera sedula	2191531	2408	2332	25
GCF_001266675.1	ASM126667v1	Metallosphaera sedula	2191529	2407	2331	25
GCF_000762265.1	ASM76226v1	Methanobacterium formicicum	2449987	2445	2386	4
GCF_029232225.1	ASM2923222v1	Haloferax alexandrinus	3920955	3993	3866	63
GCF_010692885.1	ASM1069288v1	Halogeometricum borinquense	3994321	4048	3927	64
GCF_900036045.1	Methanoculleus sp MAB1	Methanoculleus bourgensis	2859299	2977	2737	190
GCF_019669925.1	ASM1966992v1	Methanobrevibacter arboriphilus	2393271	2067	2017	6
GCF_004803735.1	ASM480373v1	Halomicrobium mukohataei	3316057	3416	3297	61
GCF_027555045.1	ASM2755504v1	Methanothermobacter thermautotrophicus	1769813	1873	1815	10
GCF_025244945.1	ASM2524494v1	Nitrososphaera viennensis	2522325	2990	2931	9
GCF_024760425.1	ASM2476042v1	Nitrososphaera viennensis	2521342	2986	2927	9
GCF_001477655.1	ASM147765v1	Methanobrevibacter millerae	2543538	2371	2302	22
GCF_019263745.1	ASM1926374v1	Methanospirillum hungatei	3393136	3236	3151	15
GCF_014969745.1	ASM1496974v1	Haloferax gibbonsii	3996244	4005	3904	36
GCF_001433455.1	ASM143345v1	Thermococcus barophilus	2388527	2679	2599	27
GCF_002355655.1	ASM235565v1	Halorubrum trapanicum	3080199	3058	2972	30
GCF_019175305.1	ASM1917530v1	Saccharolobus shibatae	2791785	3087	2829	207
GCF_019175325.1	ASM1917532v1	Saccharolobus shibatae	2778607	3098	2831	216
GCF_001767315.1	ASM176731v1	Halodesulfurarchaeum formicicum	1972283	2091	2024	16
GCF_000828575.1	ASM82857v1	Methanothermobacter sp. CaT2	1731018	1829	1769	12
GCF_902387285.1	UHGG_MGYG-HGUT-02456	Methanomethylophilus alvi	1666795	1680	1616	12
GCF_000025665.1	ASM2566v1	Aciduliprofundum boonei T469	1486778	1598	1542	5
GCF_014962245.1	ASM1496224v1	Thermosphaera aggregans	1305106	1466	1409	7
GCF_000969925.1	ASM96992v1	Methanosarcina thermophila CHTI-55	3130228	2759	2655	36
GCF_000970325.1	ASM97032v1	Methanococcoides methylutens MM1	2394636	2381	2293	21
GCF_000281695.1	ASM28169v1	Natrinema sp. J7-2	3793615	3823	3660	100
GCF_003430805.1	ASM343080v1	Natrarchaeobaculum sulfurireducens	3853425	3838	3712	64
GCF_018623055.1	ASM1862305v1	Halorubrum sp. 2020YC2	3063515	3078	2876	144
GCF_030518575.1	ASM3051857v1	Candidatus Nitrosotenuis chungbukensis	1767303	2438	2051	337
GCF_003351865.1	ASM335186v1	Methanofervidicoccus sp. A16	1504113	1369	1316	9
GCF_000970145.1	ASM97014v1	Methanosarcina siciliae C2J	5427890	4744	4444	233
GCF_000970125.1	ASM97012v1	Methanosarcina siciliae HI350	4941115	4182	3998	117
GCF_005576615.1	ASM557661v1	Natrinema versiforme	4674473	4679	4476	128
GCF_000404225.1	ASM40422v1	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	1931651	1896	1838	6
GCF_025449255.1	ASM2544925v1	Methanococcus aeolicus	1677738	1660	1594	17
GCF_037335815.1	ASM3733581v1	Salinirubellus sp. SYNS196	5327573	5257	5069	133
GCF_000969945.1	ASM96994v1	Methanosarcina sp. Kolksee	4553495	3809	3633	105
GCF_000970045.1	ASM97004v1	Methanosarcina sp. MTP4	4211468	3547	3427	53
GCF_030734285.1	ASM3073428v1	Natronococcus sp. AD-5	5168305	5142	4857	219
GCF_000969965.1	ASM96996v1	Methanosarcina sp. WWM596	4137337	3743	3509	165
GCF_020405225.1	ASM2040522v1	Natrinema sp. DC36	5097323	5314	5093	158
GCF_017357405.2	ASM1735740v2	Halomontanus rarus	5877053	5424	5239	130
GCF_023913515.1	ASM2391351v1	Natronococcus sp. CG52	4743419	4637	4420	153
GCF_037338445.1	ASM3733844v1	Salinibaculum sp. SYNS191	4177682	4311	4197	61
GCF_026013925.1	ASM2601392v1	Halocatena marina	5086474	4924	4755	117
GCF_000970005.1	ASM97000v1	Methanosarcina sp. WH1	3914091	3498	3276	155
GCF_019879105.1	ASM1987910v1	Natrinema sp. SYSU A 869	5674674	5608	4985	550
GCF_025947005.1	ASM2594700v1	Halocatena marina	5036056	4839	4665	123
GCF_037914945.1	ASM3791494v1	Haloterrigena sp. KLK7	4641606	4512	4361	86
GCF_036429475.1	ASM3642947v1	Halalkalicoccus sp. CGA53	4035917	4205	4073	79
GCF_032113415.1	ASM3211341v1	Halobellus sp. DFY28	4157617	4093	3918	117
GCF_024228315.1	ASM2422831v1	Halomarina sp. BND7	4601757	4727	4610	65
GCF_018502485.1	ASM1850248v1	Methanospirillum sp. J.3.6.1-F.2.7.3	3524547	3371	3281	19
GCF_020405245.1	ASM2040524v1	Halomicrobium salinisoli	4146547	4070	3959	46
GCF_023703795.1	ASM2370379v1	Haloplanus sp. HW8-1	3839886	4011	3853	88
GCF_029338315.1	ASM2933831v1	Halomicroarcula sp. SYNS111	3615317	3903	3462	387
GCF_036584055.1	ASM3658405v1	Halalkalicoccus sp. FCH27	4276665	4421	4246	118
GCF_000802205.1	ASM80220v2	Candidatus Nitrosocosmicus oleophilus	3430706	3331	3252	25
GCF_000827835.1	ASM82783v1	Haloarcula sp. CBA1115	4225046	4263	4109	94
GCF_001989615.1	ASM198961v1	Halorientalis sp. IM1011	3778989	3977	3858	38
GCF_004114375.1	ASM411437v1	Halorubrum sp. BOL3-1	3668425	3672	3413	188
GCF_032116555.1	ASM3211655v1	Halobaculum sp. XH14	3678577	3727	3627	47
GCF_024218815.1	ASM2421881v1	Halomicroarcula marina	3910177	3993	3864	70
GCF_000403645.1	ASM40364v1	Salinarchaeum sp. Harcht-Bsk1	3255260	3122	3048	22
GCF_037201915.1	ASM3720191v1	Haloplanus sp. CK5-1	3243851	3446	3303	82
GCF_003721435.2	ASM372143v2	Halorubrum sp. CBA1229	3582278	3640	3532	43
GCF_024227715.1	ASM2422771v1	Halomarina sp. BCD28	3884949	4187	4082	55
GCF_009617995.1	ASM961799v1	Halomicrobium sp. LC1Hm	3329031	3451	3345	47
GCF_009217585.1	ASM921758v1	Halomicrobium sp. ZPS1	3094203	3223	3128	40
GCF_030273315.1	ASM3027331v1	Natrialbaceae archaeon AArc-T1-2	3358102	3449	3310	80
GCF_038446525.1	ASM3844652v1	Methanolobus sp. ZRKC5	3053834	2940	2816	60
GCF_005155585.1	ASM515558v1	Haloprofundus sp. MHR1	3051700	3134	3058	17
GCF_029490015.1	ASM2949001v1	Halobaculum sp. YSMS11	3478749	3525	3450	21
GCF_030127165.1	ASM3012716v1	Halobaculum sp. DT31	3430593	3539	3459	26
GCF_024972735.1	ASM2497273v1	Halalkaliarchaeum sp. AArc-CO	3179131	3174	3051	68
GCF_023703775.1	ASM2370377v1	Haloplanus sp. GDY1	3435985	3610	3505	48
GCF_029489995.1	ASM2948999v1	Haladaptatus sp. DYSN1	3959935	4103	3974	74
GCF_001870125.1	ASM187012v1	Candidatus Nitrosocosmicus hydrocola	2989777	3067	3009	7
GCF_035666295.1	ASM3566629v1	Haloarcula sp. GH36	3749431	3901	3797	51
GCF_029338295.1	ASM2933829v1	Haladaptatus sp. QDMS2	3881291	4013	3900	61
GCF_029338575.1	ASM2933857v1	Halomarina sp. PSR21	4297337	4364	4224	88
GCF_017094505.1	ASM1709450v1	Halapricum desulfuricans	2940338	2982	2900	27
GCF_029338215.1	ASM2933821v1	Haladaptatus sp. YSMS36	3792965	3940	3837	51
GCF_030505615.1	ASM3050561v1	Salinibaculum sp. KK48	3543659	3630	3516	36
GCF_029338555.1	ASM2933855v1	Halobaculum sp. DT55	3506531	3577	3471	52
GCF_029207715.1	ASM2920771v1	Halorhabdus sp. SVX81	2923675	2919	2832	36
GCF_002025255.2	ASM202525v2	Halolamina sp. CBA1230	3465332	3646	3504	88
GCF_021431925.1	ASM2143192v1	Halobaculum sp. CBA1158	3320122	3444	3351	38
GCF_003268005.1	ASM326800v1	Methanosphaera sp. BMS	2868093	2255	2198	11
GCF_038022665.1	ASM3802266v1	Methanolobus sp. WCC4	2851899	2714	2630	16
GCF_900696045.1	Nitrosocosmicus franklandus C13	Candidatus Nitrosocosmicus franklandus	2836447	2778	2717	10
GCF_029229925.1	ASM2922992v1	Halorhabdus sp. BNX81	2828981	2858	2777	30
GCF_030127145.1	ASM3012714v1	Halobaculum sp. SYNS20	3459201	3564	3387	121
GCF_012222305.1	ASM1222230v1	Sulfolobus sp. S-194	2789526	2982	2819	112
GCF_030127125.1	ASM3012712v1	Halobaculum sp. DT92	3042468	3238	2952	232
GCF_024972755.1	ASM2497275v1	Halanaeroarchaeum sp. HSR-CO	2787690	2902	2826	24
GCF_003990725.2	ASM399072v2	Halorubrum sp. PV6	3044466	3108	3003	49
GCF_017094465.1	ASM1709446v1	Halapricum desulfuricans	2880382	2910	2816	38
GCF_001719125.1	ASM171912v1	Sulfolobus sp. A20	2688317	2763	2675	36
GCF_019693215.1	ASM1969321v1	Salinarchaeum sp. IM2453	2656678	2541	2446	45
GCF_009690625.1	ASM969062v1	Halorhabdus sp. CBA1104	2628395	2656	2539	66
GCF_021655615.1	ASM2165561v1	Acidianus sp. HS-5	2584028	2904	2808	45
GCF_009602405.1	ASM960240v1	Sulfolobus sp. E11-6	2549580	2798	2350	396
GCF_009601705.1	ASM960170v1	Sulfolobus sp. E5-1-F	2543529	2663	2483	129
GCF_002813675.1	ASM281367v1	Methanobacterium sp. MZ-A1	2524329	2489	2423	14
GCF_029633965.1	ASM2963396v1	Methanogenium sp. S4BF	2513916	2398	2316	18
GCF_002813655.1	ASM281365v1	Methanobacterium subterraneum	2506225	2507	2422	33
GCF_034480035.2	ASM3448003v2	Methanosphaera sp. ISO3-F5	2680162	2339	2280	9
GCF_007833275.1	ASM783327v1	Salarchaeum sp. JOR-1	2523371	2691	2611	29
GCF_032878975.1	ASM3287897v1	Methanoplanus sp. FWC-SCC4	2312530	2316	2233	10
GCF_001548675.1	ASM154867v1	Methanobrevibacter sp. YE315	2273296	2128	2080	6
GCF_000151205.2	ASM15120v2	Thermococcus sp. AM4	2086428	2323	2256	15
GCF_035621495.1	ASM3562149v1	Thermococcus sp. SY098	2033621	2297	2234	11
GCF_000221185.1	ASM22118v1	Thermococcus sp. 4557	2011320	2173	2112	9
GCF_000404165.1	ASM40416v1	Methanobrevibacter sp. AbM4	1998189	1749	1689	13
GCF_902813195.1	Essen	Thermococcus sp. 2319x1	1989851	2267	2128	86
GCF_016917835.2	ASM1691783v3	Halobacterium sp. BOL4-2	2447374	2603	2518	33
GCF_016917855.1	ASM1691785v1	Halobacterium sp. GSL-19	2326224	2472	2385	35
GCF_030323845.1	ASM3032384v1	Methanobacterium sp. CWC-01	1983764	2173	2122	3
GCF_003721175.2	ASM372117v2	Halarchaeum sp. CBA1220	3175875	3243	3157	29
GCF_001484685.1	ASM148468v1	Thermococcus sp. 2319x1	1961221	2225	2090	83
GCF_023617305.1	ASM2361730v1	Methanobrevibacter sp. TLL-48-HuF1	1951395	1826	1766	16
GCF_000211475.1	ASM21147v1	Pyrococcus sp. NA2	1861320	2058	1968	20
GCF_002197185.1	ASM219718v1	Thermococcus sp. 5-4	1854909	2029	1976	1
GCF_013407275.1	ASM1340727v1	Candidatus Nitrosotenuis sp. DW1	1834835	2150	2074	26
GCF_000025525.1	ASM2552v1	Methanocaldococcus sp. FS406-22	1773136	1892	1832	15
GCF_008033705.1	ASM803370v1	Methanothermobacter sp. KEPCO-1	1741029	1875	1818	9
GCF_000263735.1	ASM26373v1	Pyrococcus sp. ST04	1736885	1899	1809	22
GCF_009914355.1	ASM991435v1	Methanothermobacter sp. THM-1	1724502	1875	1792	33
GCF_013407385.1	ASM1340738v1	Nitrosarchaeum sp. AC2	1720730	2142	2060	33
GCF_009917665.1	ASM991766v1	Methanothermobacter sp. THM-2	1697935	1852	1749	54
GCF_026692625.1	ASM2669262v1	Methanothermobacter sp. DP	1693285	1816	1762	5
GCF_018128925.1	ASM1812892v1	Nitrosopumilus sp. K4	1645909	2016	1965	1
GCF_029854155.1	ASM2985415v1	Methanonatronarchaeum sp. AMET-Sl	1555502	1589	1536	9
GCF_003431325.1	ASM343132v1	Acidilobus sp. 7A	1539049	1591	1515	25
GCF_002214525.1	ASM221452v1	Thermococcus sp. P6	1522818	1669	1603	14
GCF_006740685.1	ASM674068v1	Candidatus Nitrosopumilus sp. SW	1499620	1874	1826	
GCF_000327505.1	ASM32750v1	Aciduliprofundum sp. MAR08-339	1437090	1578	1524	3
GCF_023016325.1	ASM2301632v1	Methanonatronarchaeum sp. AMET6-2	1398990	1473	1419	8
GCF_020885915.1	ASM2088591v1	Candidatus Methanoliparum sp. LAM-1	1254503	1388	1329	8
GCF_016806735.1	ASM1680673v1	Candidatus Micrarchaeum sp.	989838	1060	1009	2
GCF_000685635.1	ASM68563v1	Haloferax mediterranei ATCC 33500	3906699	3953	3707	185
GCF_001481595.1	ASM148159v1	Sulfolobus acidocaldarius	2220582	2372	2255	66
GCF_001481635.1	ASM148163v1	Sulfolobus acidocaldarius	2217426	2383	2289	43
GCF_005485005.1	ASM548500v1	Methanosarcina mazei	4186733	3591	3398	120
GCF_025035885.1	ASM2503588v1	Methanosarcina mazei TMA	4403296	3752	3569	117
GCF_000747605.1	ASM74760v1	Metallosphaera sedula	2191492	2408	2330	27
GCF_037198285.1	ASM3719828v1	Haladaptatus sp. DJG-WS-42	2782431	2999	2943	5
GCF_002201915.1	ASM220191v1	Methanopyrus sp. KOL6	1430309	1563	1513	10
GCF_002201895.1	ASM220189v1	Methanopyrus sp. SNP6	1421621	1552	1501	11
GCF_901686465.1	DM2	Halorubrum sp. DM2	3454955	3455	3350	48
GCF_022693705.1	ASM2269370v1	Infirmifilum sp. NZ	1829230	1994	1939	6
GCF_031201105.1	ASM3120110v1	Ferroplasma acidiphilum	1844541	1926	1857	18
GCF_963668475.1	piCycPorc2.Methanospirillum_sp_2.1	uncultured Methanospirillum sp.	3926859	3648	3551	22
GCF_963668415.1	piHetPala1.Methanospirillum_sp_1.1	uncultured Methanospirillum sp.	3962511	3701	3598	24
GCF_963674485.1	piMetSpef1.Methanolobus_sp_1.1	uncultured Methanolobus sp.	3380489	3404	3251	78
GCF_963667555.1	piMetSpea1.Methanolobus_sp_1.1	uncultured Methanolobus sp.	3293617	3061	2981	16
GCF_963665675.1	piMetPara1.Methanolobus_sp_1.1	uncultured Methanolobus sp.	3515989	3229	3114	51
GCF_963677065.1	piUroStri2.Methanoregula_sp_1.1	uncultured Methanoregula sp.	3173737	3103	3037	8
GCF_963665055.1	piHetPala1.Methanobacterium_sp_1.1	uncultured Methanobacterium sp.	3226019	3008	2935	16
GCF_963666025.1	piHetPala1.Methanobacterium_sp_2.1	uncultured Methanobacterium sp.	2946973	2766	2699	10
GCF_963678545.1	piPlaSpea1.Methanomethylovorans_sp_1.1	uncultured Methanomethylovorans sp.	3328399	3289	3176	51
GCF_963667735.1	piCycPorc2.Methanoregula_sp_2.1	uncultured Methanoregula sp.	2889517	2860	2799	7
GCF_963662735.1	piCycPorc2.Methanoregula_sp_3.1	uncultured Methanoregula sp.	2821257	2832	2774	5
GCF_003491305.1	ASM349130v1	Methanobacterium sp. BAmetb5	2417388	2411	2352	4
GCF_963457545.1	odCraCram1.Nitrosopumilus_sp_1.1	Nitrosopumilus sp.	2359279	3011	2943	16
GCF_963678795.1	piUroStri2.Methanoregula_sp_2.1	uncultured Methanoregula sp.	3113664	2966	2896	17
GCF_031200575.1	ASM3120057v1	Ferroplasma sp.	1859113	1988	1922	16
GCF_963667985.1	piMetSpec1.Methanocorpusculum_sp_1.1	uncultured Methanocorpusculum sp.	1760986	1951	1868	17
GCF_002356395.1	ASM235639v1	Methanothermobacter sp. EMTCatA1	1719979	1844	1785	11
GCF_031201125.1	ASM3120112v1	Acidiplasma sp.	1718531	1812	1743	18
